key	read_count
UniRef90_UPI00077A77E2	2037
UPI0009E4446A	457
UniRef90_A0A2B4SXT1	757
UniRef90_UPI0009E45347	4616
UniRef90_UPI00077A12E0	816
UniRef90_UPI0009E444EB	454
UniRef90_UPI00077AB431	224
UniRef90_UPI00077ACA6D	7538
UniRef90_UPI00077AC97F	1087
UniRef90_A0A2B4SR71	1236
UniRef90_A0A2B4SJU2	947
UniRef90_UPI0009E5C9C6	423
UniRef90_UPI00077A6C8A	102
UniRef90_UPI0009E51B91	276
UniRef90_UPI0009E5C0B4	513
UniRef90_UPI000779FF1A	316
UniRef90_A0A2B4SUX9	1111
UniRef90_UPI000C04AAB0	186
UniRef90_A0A2G8L6P6	384
UniRef90_UPI00077A7AC8	1491
UniRef90_UPI000F54EC1C	239
UniRef90_UPI00077A105C	929
UniRef90_UPI00077AB383	824
UniRef90_UPI0009E362CA	290
UniRef90_UPI00077A4C2D	296
UniRef90_UPI00077AAF38	10160
UniRef90_UPI0009E1DAB1	860
UniRef90_UPI000F54E464	921
UniRef90_A0A2B4RKW4	935
UniRef90_A0A2B4RPC3	1360
UniRef90_UPI0009E4DDE3	2414
UniRef90_UPI00077A5EC6	1008
UPI00077AD7C8	495
UniRef90_A0A2B4RNJ2	2103
UPI00077AF591	2615
UniRef90_A0A2B4SYL8	1068
UniRef90_UPI000C04B3A2	1508
UniRef90_UPI000779F645	790
UniRef90_UPI00077A8FE1	1289
UniRef90_A0A2B4SE86	1794
UniRef90_UPI00077A74DF	1906
UniRef90_UPI00077A4953	583
A0A2B4SND4	563
UniRef90_UPI0009E3BE94	585
UniRef90_UPI00077ACBC4	4333
UniRef90_UPI0009E413D4	582
UniRef90_UPI00077A8D8C	546
UniRef90_UPI00077A1551	359
UniRef90_UPI00077ADDFE	316
A0A2B4SSU9	327
UPI00077A1BFD	3741
UniRef90_A0A2B4R4D3	262
UniRef90_A0A2B4S1V5	444
UniRef90_UPI0009E50462	483
UniRef90_UPI00077A1BAE	188
UPI00077AA4D2	1402
UniRef90_A0A2B4RTT6	1341
UniRef90_A0A2B4S5A9	1014
UPI00077AB1FD	463
UniRef90_UPI00077ABED9	369
UniRef90_A0A2B4RUU6	333
UniRef90_UPI00077A235B	4551
UniRef90_UPI00077A249A	1158
UniRef90_UPI00077AA3BF	270
UniRef90_UPI00077AFDBE	257
UniRef90_UPI0009E47D3A	5903
UniRef90_UPI00077AA217	294
UniRef90_UPI00077A2C6E	235
UniRef90_UPI00077A8B01	826
UniRef90_UPI000779F8CC	687
UniRef90_UPI0009E516C0	1167
UPI0009E28867	565
UniRef90_UPI0009E5209C	723
UniRef90_UPI00077AD024	277
UniRef90_UPI0009E62710	479
UniRef90_A0A2B4RI31	327
UPI000F553A05	1430
UniRef90_UPI0009E386C2	892
UniRef90_A0A2B4S2Y3	823
UniRef90_UPI00077A38D7	357
UniRef90_UPI000C038FB4	478
UniRef90_UPI00077AE6C6	365
UPI000F558B7C	981
UniRef90_UPI00077A0BEE	4178
UniRef90_UPI00077A15BF	2949
UniRef90_UPI00077AD157	227
UniRef90_A0A2B4SXS4	760
UniRef90_UPI00077AAA4B	1289
UniRef90_UPI0009E62F3F	219
UniRef90_UPI0009E5C2DD	395
UniRef90_UPI0009E19469	1259
UniRef90_UPI00077A1CDD	3349
UPI00077B070F	591
UPI000C04632A	2079
UniRef90_UPI0009E2C812	1368
UniRef90_UPI0009E25E6D	666
UniRef90_UPI0009E580E3	872
UniRef90_UPI00077AE3AF	272
UniRef90_UPI00077A6F8F	322
UniRef90_A0A2B4RSQ0	1036
UPI00077A24DB	1616
UniRef90_UPI00077A46FC	761
UniRef90_UPI0009E3B792	1085
UniRef90_UPI00077ACCBD	818
UniRef90_UPI0009E30363	715
UPI00077AE428	707
UniRef90_UPI0009E4ACB9	7323
UniRef90_UPI0009E25AAA	1404
UniRef90_UPI00077A9F6F	1981
UniRef90_A0A2B4RMA2	979
UniRef90_UPI0009E5F379	304
UniRef90_UPI00077A28C1	366
UniRef90_UPI000F551A16	411
UniRef90_A0A2B4RTE2	342
UniRef90_UPI00077AF837	1064
UPI000F556E62	617
UniRef90_UPI0009E636E0	355
UniRef90_UPI0009E439C1	54
UniRef90_UPI00077AEFF5	5793
UPI00077A4F87	519
UniRef90_UPI0009E3023A	3169
UPI00077B0B3A	1552
